text,likes,platform,num_palabras
Escuela de sirenas ☺️😊😉,2.0,Instagram,4
وين الموقع ؟بالجامعه الهاشميه,1.0,Instagram,4
😂😂haha may be not...bcz no one is interested in our broken life 😂🗿,3.0,Instagram,13
Looks so good 😍😍😍,1.0,Instagram,4
يي الله عاش حبيبي,1.0,Instagram,4
🔥🔥🔥🔥,1.0,Instagram,1
"muitas bençãos p vc, rafa ❤️",1.0,Instagram,6
Q benção..,1.0,Instagram,2
Amazing shot,1.0,Instagram,2
Stunning,1.0,Instagram,1
مبدعة🔥 ❤️,1.0,Instagram,2
Trop magnifique tu fais quoi de beau la bas ?,1.0,Instagram,10
يديمكم حبيبتي🥹🎀,1.0,Instagram,2
My spot is booked and I’m SO excited 🙌,1.0,Instagram,9
Thank you haboosh ❤️ im in love with it ♥️♥️,1.0,Instagram,10
Vet man! Amazing travels 😎,1.0,Instagram,5
Love your fashion styles😍,1.0,Instagram,4
Beautiful design,1.0,Instagram,2
اللهم صلي وسلم وبارك على سيدنا محمد وعلى اله وصحبه اجمعين 🤲🏻,1.0,Instagram,12
@mzynbwshnb,1.0,Instagram,1
👀العيون الفلسطينية احلا شي 👀🇵🇸♥️🍉🔥,1.0,Instagram,5
La meow body,1.0,Instagram,3
Heureux de te voir heureuse,1.0,Instagram,5
🔥👏🔥👏🔥,1.0,Instagram,1
Piece of art 😍😍,1.0,Instagram,4
عقبال باقي السرطانات,2.0,Instagram,3
ما شاء الله تسلم اليدين، ايش اسم الزهرة الحمراء؟,1.0,Instagram,9
حبيبتي ومعشوقتي عمّان❤️,1.0,Instagram,3
❤️❤️❤️❤️,1.0,Instagram,1
ترة هذولة يهود ضد اسرائيل يسكنون فلسطين و يرفضون الجنسية الاسرائيلية,3.0,Instagram,11
ابدعتي فعلاً,1.0,Instagram,2
بجننو ما شاء الله,1.0,Instagram,4
Good luck,1.0,Instagram,2
Love it!!!!!!,1.0,Instagram,2
💯💯💯👍❤️,1.0,Instagram,1
🔥🔥,1.0,Instagram,1
صباح النصر والفرج يارب. 🇵🇸✌️🇵🇸✌️💪,1.0,Instagram,5
I adore this!! You broke down this technique in such an accessible way 🥰🥰,1.0,Instagram,14
This is absolutely exquisite. MashaAllah ♥️,1.0,Instagram,6
ماشاء الله ❤️,1.0,Instagram,3
